Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,0,,,,0,,27469615,,,0
H5,2018,2018,2018,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0,,7323219,,,0
H5,2018,2018,2018,2,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0,,5388,,,0
H5,2018,2018,2018,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,0,,,,0,,11079259,,,0
H5,2018,2018,2018,2,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,0,,,,0,,2784,,,0
H5,2018,2018,2018,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,0,,,,0,,6511760,,,4
H5,2018,2018,2018,2,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,0,,,,0,,6169,,,0
H5,2018,2018,2018,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,0,,,,0,,6739348,,,0
H5,2018,2018,2018,2,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,0,,,,0,,128030,,,0
H5,2018,2018,2018,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0,,14692986,,,0
H5,2018,2018,2018,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,8231386,,,0
H5,2018,2018,2018,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,0,,,,0,,477701,,,4
H5,2018,2018,2018,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,0,,,,0,,958911,,,0
H5,2018,2018,2018,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,0,,,,0,,514995,,,0
H5,2018,2018,2018,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,0,,,,0,,13269,,,0
H5,2018,2018,2018,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,0,,,,0,,7544,,,0
H5,2018,2018,2018,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0,,1696571,,,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0,,2111744,,,0
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0,,1410,,,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,26234083,,,4
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,2357040,,,4
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,,,101969930,,,4
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0,,548245,,,4
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0,,17584416,,,4
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,0,,,,,,1491742,,,4
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,0,,,,,,383013139,,,4
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,0,,,,,,375799,,,4
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,0,,,,0,,361252279,,,4
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,0,,,,,,7220535,,,4
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,0,,,,0,,16968374,,,4
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,0,,,,0,,33105,,,4
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,0,,,,0,,9211081,,,0
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,0,,,,0,,14848,,,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,0,,,,0,,38849,,,0
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,0,,,,0,,27442,,,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,0,,,,0,,336247583,,,4
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,0,,,,,,1699832,,,4
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,0,,,,,,190272718,,,4
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,0,,,,,,5709781,,,4
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,0,,,,0,,20261491,,,4
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,0,,,,0,,63781,,,0
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,0,,,,0,,237246566,,,4
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,0,,,,,,855559,,,4
H5,2018,2018,2018,2,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,0,,,,0,,56243649,,,4
H5,2018,2018,2018,2,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,0,,,,0,,1517199,,,4
H3,2018,2018,2018,2,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0,,1350438,,,4
H3,2018,2018,2018,2,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,0,,,,0,,10575903,,,4
H3,2018,2018,2018,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,0,,,,0,,24245,,,0
H3,2018,2018,2018,2,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,0,,,,0,,7728156,,,4
H3,2018,2018,2018,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,0,,,,0,,1739,,,0
H3,2018,2018,2018,2,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,09,"Coffee, tea, maté and spices",1,No Quantity,0,,,,,,1571903,,,4
H3,2018,2018,2018,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,09,"Coffee, tea, maté and spices",1,No Quantity,0,,,,0,,37314,,,0
H3,2018,2018,2018,2,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,0,,,,0,,1780814,,,4
H3,2018,2018,2018,2,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,11,Products of the milling industry; malt; starches; inulin; wheat gluten,1,No Quantity,0,,,,0,,4298229,,,4
H3,2018,2018,2018,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,11,Products of the milling industry; malt; starches; inulin; wheat gluten,1,No Quantity,0,,,,0,,1663,,,0
H3,2018,2018,2018,2,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",1,No Quantity,0,,,,0,,483014,,,4
H3,2018,2018,2018,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",1,No Quantity,0,,,,0,,1272,,,0
H3,2018,2018,2018,2,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,0,,,,0,,4843,,,0
H3,2018,2018,2018,2,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,0,,,,0,,5484,,,0
H3,2018,2018,2018,2,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,1,No Quantity,0,,,,0,,3666868,,,4
H3,2018,2018,2018,2,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,0,,,,0,,2834757,,,4
H3,2018,2018,2018,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,0,,,,0,,26777,,,0
H3,2018,2018,2018,2,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,0,,,,0,,1531518,,,0
H3,2018,2018,2018,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,0,,,,0,,56163,,,0
H3,2018,2018,2018,2,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,0,,,,0,,10627935,,,4
H3,2018,2018,2018,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,0,,,,0,,28049,,,0
H3,2018,2018,2018,2,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,0,,,,0,,7674353,,,0
H3,2018,2018,2018,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,0,,,,0,,2865,,,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,0,,,,0,,32283515,,,0
H5,2018,2018,2018,2,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,0,,,,0,,17426438,,,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,0,,,,0,,87560637,,,0
H5,2018,2018,2018,2,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,0,,,,0,,2210127,,,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,0,,,,0,,64839635,,,0
H5,2018,2018,2018,2,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,0,,,,0,,3784350,,,0
H5,2018,2018,2018,2,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,0,,,,0,,122538793,,,0
H5,2018,2018,2018,2,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,0,,,,0,,25474265,,,0
